Age,time,City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual TC one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoffs_impact_you,company_layoffs,Did you already find a new job?,Do you currently search for a job?,company_hire_in_2024,company_industry,change_jobs,tc_new_job,unemployed_last_tc_salary,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool
38,12/9/2024 10:49,Berlin,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,8,2,Senior,,Other,,Other,2.00,101-1000,65000,65000,,28,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Midjourney"
37,12/9/2024 10:51,Berlin,,Full/Part-time employee,Backend Software Engineer,,17,6,Senior,,PHP,,Go,0.50,101-1000,90000,90000,88000,30,,,,,40,"Yes, I am NOT satisfied with a severance package","Yes, in 2024",No,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",4.0,Invisible,No,
37,12/9/2024 10:52,Berlin,,Full/Part-time employee,Site Reliability Engineer,,18,9,Staff / Lead / Manager,,Cloud (AWS / Azure / GCP),,"Python,Go,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,1000,110000,118000,107000,26,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
34,12/9/2024 10:52,Berlin,,Full/Part-time employee,Site Reliability Engineer,,12,4,Senior,,Cloud (AWS / Azure / GCP),,"Kubernetes,Cloud (AWS / Azure / GCP),Terraform,Python,Bash / Zsh / PowerShell,Docker",4.00,101-1000,80500,90000,80000,29,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,No,
29,12/9/2024 10:52,Berlin,,Full/Part-time employee,Backend Software Engineer,,8,2,Senior,,Java / Scala / Kotlin,,"Java / Scala / Kotlin,SQL,Cloud (AWS / Azure / GCP),Docker",2.00,1000,110000,140000,130000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,No,
35,12/9/2024 10:52,Berlin,,Founder,Other,Business owner,15,12,Other,,Other,,"Python,Cloud (AWS / Azure / GCP)",4.00,up to 10,120000,120000,150000,unlimited,,,,,20,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Anthropic Claude"
30,12/9/2024 10:52,Munich,,Full/Part-time employee,Frontend Software Engineer,,9,7,Senior,,JavaScript / TypeScript,,,0.50,1000,107000,116000,117000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,,"Voluntary, it was my decision",0.0,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
29,12/9/2024 10:53,Munich,,Full/Part-time employee,Software Engineer,,14,4,Senior,,NodeJS,,"JavaScript / TypeScript,NodeJS,Cloud (AWS / Azure / GCP)",3.00,11-50,85000,85000,85000,30,,,,,40,,No,,,Yes,Insurance,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude,Google Gemini"
36,12/9/2024 10:53,Berlin,,Full/Part-time employee,Backend Software Engineer,,17,3,Senior,,Ruby,,"SQL,Docker,Other",2.00,11-50,91000,91000,88000,30,,,,,40,,No,,,No,Insurance,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
33,12/9/2024 10:54,Berlin,,Full/Part-time employee,Software Engineer,,8,6,Mid-level,,Java / Scala / Kotlin,,"JavaScript / TypeScript,Swift,Dashboards (Power BI / Tableau / Looker / etc.)",3.00,1000,94000,130000,120000,26,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,Anthropic Claude
